id,address,latLocation,lonLocation,pharmacyName
160,Rua Dom Jerónimo Osório 18D,38.700443615433436,-9.225590639892273,Farmácia Ocidental
135,Rua de Pedrouços 52,38.696210337916298,-9.219617469378655,Farmácia Sociedade Higilux Lda
115,Rua Duarte Pacheco Pereira 11C,38.69852216705943,-9.218485080979249,Farmácia do Restelo
68,Rua Bartolomeu Dias 172B,38.69515079274089,-9.214459916142395,Farmácia Grijó
3,Rua Gregório Lopes 44B,38.711925740773154,-9.213581989021934,Farmácia Fénix
120,Rua Gregório Lopes 44A,38.711925740773154,-9.213581989021934,Farmácia Fénix
232,Avenida da Ilha da Madeira 47,38.707844323367787,-9.210169944129428,Farmácia Central do Restelo
147,Rua Engº Paulo de Barros 28A,38.747890258478634,-9.206767398921027,Farmácia Lavinha
56,Rua Tristão Vaz 33A,38.707640620748933,-9.206106698809348,Farmácia Belém
36,Rua Augusto Costa (Costinha) 6A,38.754156307120468,-9.205170387483632,Farmácia Gouveia
258,Estrada de Benfica 678E,38.752014769793888,-9.204919740451398,Farmácia Benfica
226,Calçada do Tojal 102A,38.756792117477914,-9.204565656905743,Farmácia Simões
63,Rua das Magnólias Quarteirão Central A - Bloco C R/C Loja 1 e Loja 2,38.734737052890196,-9.204359003966193,Farmácia da Boavista
21,Rua de Belém 89-91,38.697210996763019,-9.203008010542423,Farmácia dos Jerónimos
43,Travessa da Memória 45B,38.702163073223616,-9.201649260166182,Farmácia Moura
137,Rua da Venezuela 37A,38.744948017568269,-9.201501296859099,Farmácia Labor
245,Estrada de Benfica 648,38.750655015006849,-9.200802587231101,Farmácia Marques
204,Estrada de Benfica 592,38.750802752262423,-9.199564162593875,Farmácia União
150,Calçada da Ajuda 170,38.703739233828273,-9.199334911635075,Farmácia Lídia Almeida
247,Calçada da Ajuda 222,38.704561674609273,-9.199239074868967,Farmácia Mendes Gomes
22,Avenida Gomes Pereira 34B,38.748864196295095,-9.197798356816305,Farmácia Santa Cruz
152,Rua da República da Bolívia 69C,38.75391842529524,-9.197701006388954,Farmácia Eusébio
129,Avenida do Uruguai 18A,38.751734563207727,-9.197150870024133,Farmácia Uruguai
87,Rua José Farinha 30B,38.760580484564223,-9.196667377873611,Farmácia Carnide
123,Rua da Junqueira 326,38.697581991227537,-9.195921415963356,Farmácia Gomes Sucessores
242,Rua Prof. Francisco Pereira de Moura Lote 138 B,38.768377140068239,-9.190724402431599,Farmácia Padre Cruz
112,Rua do Cruzeiro 52A,38.706332784097619,-9.190498623461345,Farmácia do Cruzeiro
192,Estrada de Benfica 444A,38.749158678870707,-9.190176373514435,Farmácia Benfiluz
29,"Rua Galileu Galilei, 2 - Piso 0 Loja 077",38.754210393096301,-9.189934595548976,Farmácia Colombo
15,Rua Ten. Coronel Ribeiro dos Reis 12B,38.7460012904927,-9.189596607118251,Farmácia Rebocho Unipessoal
103,Rua Neves Costa 35,38.759910347130855,-9.188891341585334,Farmácia Guimarães Morais
67,Rua João de Barros 2A,38.705646240580748,-9.185186577064201,Farmácia Teles
134,Estrada de Benfica 429A,38.746686440977804,-9.184857405598022,Farmácia Sousa
24,Rua Filinto Elísio 29B,38.70363053672628,-9.184504082925409,Farmácia Santo Amaro
91,Rua Luís de Camões 42B,38.70291264953142,-9.181194371415121,Farmácia Correia de Azevedo
154,Largo José João Farinha Júnior 6A,38.765369524861079,-9.181175757424096,Farmácia Maia Palma
